CODICE_SCUOLA;denominazione;tipoDiIstruzione;CODICE_ISTITUTO;denominazioneIstituto;indirizzo;comune;provincia;cap;email;telefono;latitudine;longitudine;scuolaStatale;scuolaParitaria
RMMM8CS01C;G. FALCONE E F. MORVILLO;MM;RMIC8CS00B;IC EMMA CASTELNUOVO;VIA DON PRIMO MAZZOLARI 323;ROMA;ROMA;00132;RMIC8CS00B@istruzione.it;0622751820;41.89947;12.67017;1;0
RMTF090003;G. GALILEI;TF;RMTF090003;G. GALILEI;VIA      CONTE VERDE,51;ROMA;ROMA;00185;RMTF090003@istruzione.it;000677071943;41.89233;12.50808;1;0
RMTF009013;G. LATTANZIO;TF;RMIS00900E;IISS ITC DI VITTORIO-ITI LATTANZIO;VIA TEANO,223;ROMA;ROMA;00177;RMIS00900E@istruzione.it;000602751744;41.88959;12.54966;1;0
RMTD113019;G. SALVEMINI;TD;RMIS113003;CROCE-ALERAMO;VIA SOMMOVIGO 40;ROMA;ROMA;00155;RMIS113003@istruzione.it;06121123185;41.91059;12.57595;1;0
RMTD00901R;G.DI VITTORIO;TD;RMIS00900E;IISS ITC DI VITTORIO-ITI LATTANZIO;VIA  AQUILONIA, 50;ROMA;ROMA;00177;RMIS00900E@istruzione.it;0060273268;41.88959;12.54966;1;0
RMTA070005;"G.GARIBALDI ANNESSO CONV.""G.GARIBALDI""";TA;RMTA070005;"G.GARIBALDI ANNESSO CONV.""G.GARIBALDI""";VIA DI VIGNA MURATA, 571/573;ROMA;ROMA;00142;RMTA070005@istruzione.it;0693578629;41.82746;12.51146;1;0
RM1MHD500Z;GAUSS;MM;RM1MHD500Z;GAUSS;Via della Bufalotta 556;ROMA;ROMA;00139;info@istitutogauss.it;06-24305331-2  ;41.95974;12.54699;0;1
RMPL035007;GAUSS;PL;RMPL035007;GAUSS;Via della Bufalotta, 556;ROMA;ROMA;00139;SEGRETERIA@ISTITUTOGAUSS.IT;0624305331     ;41.95802;12.54587;0;1
RMMM8FT014;GIANICOLO;MM;RMIC8FT003;"""GIANICOLO""";LARGO A. ORIANI, 1;ROMA;ROMA;00152;RMIC8FT003@istruzione.it;065810022;41.87867;12.46055;1;0
RMMM833018;GIANNI RODARI;MM;RMIC833007;"""GIANNI RODARI"" - VIA NIOBE";VIA        NIOBE               50/52;ROMA;ROMA;00118;RMIC833007@istruzione.it;0679896266;41.8219;12.61464;1;0
RMPM12000L;GIORDANO BRUNO;PM;RMPM12000L;GIORDANO BRUNO;VIA DELLA BUFALOTTA 594;ROMA;ROMA;00139;RMPM12000L@istruzione.it;06121122025;41.96318;12.54824;1;0
RMTF12101E;GIORGI;TF;RMIS121002;GIORGI - WOOLF;VIALE P. TOGLIATTI 1161;ROMA;ROMA;00155;RMIS121002@istruzione.it;0621800646;41.9006;12.57245;1;0
RMMM8FY017;GIORGIO MORANDI;MM;RMIC8FY006;I.C. MARIO LODI;VIA        D'AVARNA            9/11;ROMA;ROMA;00151;RMIC8FY006@istruzione.it;0665743707;41.8568;12.44368;1;0
RMPM02701G;GIOSUE' CARDUCCI;PM;RMIS027004;I.I.S. GIOSUE' CARDUCCI;VIA ASMARA, N. 28;ROMA;ROMA;00199;RMIS027004@istruzione.it;121124485;41.92743;12.51788;1;0
RMMM8GW016;GIOVANNI XXIII;MM;RMIC8GW005;IC CLAUDIO ABBADO;V.LE       MEDAGLIE D'ORO      419/G;ROMA;ROMA;00136;RMIC8GW005@istruzione.it;0635348801;41.9232;12.44563;1;0
RMPSHQ500O;GIULIA FALETTI DI BAROLO;PS;RMPSHQ500O;GIULIA FALETTI DI BAROLO;VIALE MARCONI 700;ROMA;ROMA;00146;segr.didattica@santannafalletti.it;065401257      ;41.84589;12.47583;0;1
RMPC12000C;GIULIO CESARE;PC;RMPC12000C;GIULIO CESARE;CORSO TRIESTE 48;ROMA;ROMA;00198;RMPC12000C@istruzione.it;06121124445;41.91876;12.50711;1;0
RMRC10301B;GIULIO VERNE;RC;RMIS10300C;GIULIO VERNE - I.I.S.VIA DI SAPONARA 150;VIA DI SAPONARA 150;ROMA;ROMA;00125;RMIS10300C@istruzione.it;06121125745;41.77943;12.35943;1;0
RMMM8FS018;GIUSEPPE BAGNERA;MM;RMIC8FS007;I.C. GIUSEPPE BAGNERA;VIA GIUSEPPE  BAGNERA,64;ROMA;ROMA;00146;RMIC8FS007@istruzione.it;065580690;41.86309;12.46695;1;0
RMMM8FD01X;GIUSEPPE MOSCATI;MM;RMIC8FD00V;IC VIA P. SEMERIA;VIA P. SEMERIA, 28;ROMA;ROMA;00154;RMIC8FD00V@istruzione.it;065123167;41.86593;12.49437;1;0
RMMM84001B;GIUSEPPE PARINI;MM;RMIC84000A;VIA DELLE AZZORRE;VIA DELLE AZZORRE       314;ROMA;ROMA;00121;RMIC84000A@istruzione.it;0656339756;41.74052;12.26856;1;0
RMMM8EU019;GIUSEPPE TONIOLO;MM;RMIC8EU008;I.C. VIA ANAGNI;VIA ANAGNI, 46;ROMA;ROMA;00171;RMIC8EU008@istruzione.it;0621803058;41.89004;12.55673;1;0
RMMM8BX01T;GIUSEPPE TUCCIMEI;MM;RMIC8BX00R;IC M.CALDERINI-G.TUCCIMEI;VIA C. BESCHI,10;ROMA;ROMA;00125;RMIC8BX00R@istruzione.it;0652350169;41.7846;12.36522;1;0
RMMM8G201V;GIUSEPPE VERDI;MM;RMIC8G200T;IC VIA ORMEA;VIA ORMEA, 6;ROMA;ROMA;00166;RMIC8G200T@istruzione.it;0661568456;41.91646;12.36922;1;0
RMMM8F401X;GOFFREDO PETRASSI;MM;RMIC8F400V;"I.C. ""GOFFREDO PETRASSI""";VIA        DELLA MARATONA      23;ROMA;ROMA;00194;RMIC8F400V@istruzione.it;063292909;41.94419;12.45912;1;0
RMMM8CC018;GUGLIELMO  MASSAIA;MM;RMIC8CC007;"IC ""ARTEMISIA GENTILESCHI""";VIA CARPINETO,11;ROMA;ROMA;00172;RMIC8CC007@istruzione.it;0693567977;41.87605;12.55968;1;0
RMPS46000L;GULLACE TALOTTA;PS;RMPS46000L;GULLACE TALOTTA;PIAZZA     CAVALIERI DEL LAVORO 18;ROMA;ROMA;00173;RMPS46000L@istruzione.it;0612112265;41.86021;12.57293;1;0
RMPLG55006;Highlands Institute Internazionale-Quadriennale;PL;RMPLG55006;Highlands Institute Internazionale-Quadriennale;VIA DELLA SCULTURA 15;ROMA;ROMA;00144;;06902271       ;;;0;1
RMMM8FZ013;I. C. PIAZZA FORLANINI;MM;RMIC8FZ002;I.C. PIAZZA FORLANINI;VIA DI VAL TELLINA, 50;ROMA;ROMA;00151;RMIC8FZ002@istruzione.it;0695955195;41.86732;12.44803;1;0
RMMM854019;"I.C. ""ARISTIDE LEONORI""";MM;RMIC854008;"I.C. ""ARISTIDE LEONORI""";VIA        ACHILLE FUNI 41;ROMA;ROMA;00125;RMIC854008@istruzione.it;0652311607;41.77374;12.34805;1;0
RMMM8GL01P;I.C. VIA SORISO;MM;RMIC8GL00N;I.C. VIA SORISO;VIA SORISO, 41;ROMA;ROMA;00166;RMIC8GL00N@istruzione.it;0681925147;41.90142;12.4075;1;0
RMPS09101T;"I.I.S. ""VIA DEI PAPARESCHI""";PS;RMIS09100B;"I.I.S. ""VIA DEI PAPARESCHI""";VIA DEI PAPARESCHI, 30/A;ROMA;ROMA;00146;RMIS09100B@istruzione.it;0655308913;41.87036;12.47039;1;0
RMTE091015;"I.I.S. ""VIA DEI PAPARESCHI""";TE;RMIS09100B;"I.I.S. ""VIA DEI PAPARESCHI""";VIA DEI PAPARESCHI, 30/A;ROMA;ROMA;00146;RMIS09100B@istruzione.it;0655308913;41.87036;12.47039;1;0
RMRC097019;I.I.S. CONFALONIERI DE CHIRICO;RC;RMIS09700A;CONFALONIERI-DE CHIRICO;VIA B.M. DE MATTIAS, 5 - VIA A. SEVERO;ROMA;ROMA;00183;RMIS09700A@istruzione.it;0696120065;41.87897;12.503;1;0
RMSL09701N;I.I.S. CONFALONIERI DE CHIRICO;SL;RMIS09700A;CONFALONIERI-DE CHIRICO;LARGO PANNONIA  37- VIA CERVETERI 53 - VIA SEVERO;ROMA;ROMA;00183;RMIS09700A@istruzione.it;0696120065;41.87949;12.50174;1;0
RMTF09701V;I.I.S. CONFALONIERI DE CHIRICO;TF;RMIS09700A;CONFALONIERI-DE CHIRICO;VIA BEATA MARIA DE MATTIAS, VIA A. SEVERO;ROMA;ROMA;00185;RMIS09700A@ISTRUZIONE.IT;06121122085;41.87897;12.503;1;0
RMPS09402A;I.I.S. PACINOTTI - ARCHIMEDE;PS;RMIS09400V;PACINOTTI - ARCHIMEDE;VIA MONTAIONE, 15;ROMA;ROMA;00139;RMIS09400V@istruzione.it;06121123545;41.94885;12.51489;1;0
RMTF09401B;I.I.S. PACINOTTI - ARCHIMEDE;TF;RMIS09400V;PACINOTTI - ARCHIMEDE;VIA        MONTAIONE 15;ROMA;ROMA;00139;RMIS09400V@istruzione.it;06121123545;41.96352;12.51685;1;0
RMSL08201X;"I.I.S.S. ""CARAVAGGIO""";SL;RMIS08200L;"I.I.S.S. ""CARAVAGGIO""";VIALE C.T.ODESCALCHI 75;ROMA;ROMA;00147;RMIS08200L@istruzione.it;06121126965;41.85364;12.49912;1;0
RMTF02202E;I.I.S.S. J. VON NEUMANN;TF;RMIS022001;J.VON NEUMANN;VIA POLLENZA, 115;ROMA;ROMA;00156;RMIS022001@istruzione.it;06121123265;41.94527;12.57827;1;0
RMRF11301Q;I.P.SIBILLA ALERAMO;RF;RMIS113003;CROCE-ALERAMO;VIA      CAPELLINI 11;ROMA;ROMA;00158;RMIS113003@istruzione.it;06121122925;41.92739;12.5751;1;0
RMTD43500Q;I.T.A.F.M. POLIZIANO;TD;RMTD43500Q;I.T.A.F.M. POLIZIANO;VIA DELLA TRAVICELLA 55/61;ROMA;ROMA;00179;istituto.poliziano@virgilio.it;065110121      ;41.87037;12.4979;0;1
RMTD49500B;I.T.C. ETTORE MAJORANA;TD;RMTD49500B;I.T.C. ETTORE MAJORANA;V.MONTAGANO 74;ROMA;ROMA;00010;giuseppefinamore@hotmail.it;062263143      ;41.90442;12.68317;0;1
RMTD12601B;"I.T.C.G. ""CARLO MATTEUCCI""";TD;RMIS126005;IIS CARLO MATTEUCCI;VIA        DELLE VIGNE NUOVE 262;ROMA;ROMA;00139;RMIS126005@istruzione.it;06121123705;41.95249;12.53635;1;0
RMTF03301X;"IIS ""CARLO URBANI"" - IST. TECNICO IND.LE";TF;RMIS03300B;CARLO URBANI;VIA DELL'IDROSCALO, 88;ROMA;ROMA;00121;RMIS03300B@istruzione.it;06121126360;41.73963;12.25614;1;0
RMRI033013;"IIS ""CARLO URBANI"" - SEDE DI ACILIA";RI;RMIS03300B;CARLO URBANI;VIA DI SAPONARA, 760;ROMA;ROMA;00125;RMIS03300B@istruzione.it;06121125325;41.76744;12.32592;1;0
RMRC03301A;"IIS ""CARLO URBANI"" - SEDE DI OSTIA";RC;RMIS03300B;CARLO URBANI;VIA DELL'IDROSCALO, 88;ROMA;ROMA;00121;RMIS03300B@istruzione.it;06121126360;41.73961;12.25656;1;0
RMTD008011;"IIS ""L. PIRELLI"" ECONOMICO - LINGUISTICO";TD;RMIS00800P;IS  LEOPOLDO PIRELLI;VIA ROCCA DI PAPA, 113;ROMA;ROMA;00179;RMIS00800P@istruzione.it;06121122305;41.86767;12.53392;1;0
RMTL00801B;"IIS ""LEOPOLDO PIRELLI"" C.A.T.";TL;RMIS00800P;IS  LEOPOLDO PIRELLI;VIA        ROCCA DI PAPA 113;ROMA;ROMA;00179;RMIS00800P@istruzione.it;06121122305;41.86793;12.53375;1;0
RMMM827011;ILARIA ALPI;MM;RMIC82700X;MELISSA BASSI;VIA DELL'ARCHEOLOGIA 139;ROMA;ROMA;00133;RMIC82700X@istruzione.it;062009904;41.87727;12.63007;1;0
RMTD08201V;ILARIA ALPI;TD;RMIS08200L;"I.I.S.S. ""CARAVAGGIO""";VIALE C.T.ODESCALCHI, 75;ROMA;ROMA;00147;RMIS08200L@istruzione.it;065123580;41.85371;12.49901;1;0
RMPM9P500H;INFORMEZ GROUP;PM;RMPM9P500H;INFORMEZ GROUP;CORSO VITTORIO EMANUELE II 326;ROMA;ROMA;00186;amministrazione@informezgroup.it;0692956088     ;41.89954;12.46675;0;1
RMMM8D7016;IPPOLITO NIEVO;MM;RMIC8D7005;IC VIA U. BOCCIONI;VIA        U. BOCCIONI         12;ROMA;ROMA;00197;RMIC8D7005@istruzione.it;068082153;41.92728;12.48696;1;0
RMRH010507;IPSEOA TOR CARBONE;RH;RMRH01000T;"""TOR CARBONE - ALESSANDRO NARDUCCI""";VIA TOR CARBONE, 53;ROMA;ROMA;00178;RMRH01000T@ISTRUZIONE.IT;121122600;41.83231;12.53571;1;0
RMRFB3500L;IPSS CARTESIO;RF;RMRFB3500L;IPSS CARTESIO;V. C.E. Gadda, 156;ROMA;ROMA;00143;DIDATTICA@ISTITUTOCARTESIO.COM;06-45665348    ;41.81127;12.47675;0;1
RMPM195002;IST. MAGISTRALE S. SISTO VECCHIO;PM;RMPM195002;IST. MAGISTRALE S. SISTO VECCHIO;V.DRUSO 2;ROMA;ROMA;00184;SEGRETERIA@ISTITUTOSANSISTOROMA.IT;00677205175    ;41.88074;12.49622;0;1
RMTF18500C;IST. TECNICO INFORMATICA E TELECOMUNICAZIONI;TF;RMTF18500C;IST. TECNICO INFORMATICA E TELECOMUNICAZIONI;CSO DUCA DI GENOVA 157;ROMA;ROMA;00121;ISTITUTO@ISTITUTOGIOVANNIPAOLO2.IT;065692301      ;41.73417;12.27062;0;1
RMTF023019;IST. TECNOLOGICO;TF;RMIS02300R;DONATO BRAMANTE;VIA DELLA CECCHINA 20;ROMA;ROMA;00139;RMIS02300R@istruzione.it;06121123505;41.94774;12.5415;1;0
RMTNEF500B;ISTITUTI SUPERIORI PARITARI ANIENE;TN;RMTNEF500B;ISTITUTI SUPERIORI PARITARI ANIENE;Via Tiburtina, 994;ROMA;ROMA;00156;direzione@istitutoaniene.it;06.95020221    ;;;0;1
RM1M058005;"ISTITUTO ""TERESA SPINELLI"" DELLE SUORE AGOSTINIANE SERVE DI GESÙ E MARIA";MM;RM1M058005;"ISTITUTO ""TERESA SPINELLI"" DELLE SUORE AGOSTINIANE SERVE DI GESÙ E MARIA";PIAZZA MASTAI, 16;ROMA;ROMA;00100;SCUOLA.TERESA.SPINELLI@GMAIL.COM;065812747      ;41.88727;12.47295;0;1
RMPME45007;ISTITUTO ALFRED NOBEL SRL;PM;RMPME45007;ISTITUTO ALFRED NOBEL SRL;VIA G.GALATI. 99;ROMA;ROMA;00155;ISTITUTOALFREDNOBEL@GMAIL.COM;0640802091     ;41.91224;12.57028;0;1
RMPS46500Q;ISTITUTO COR JESU ROMA - LICEO SCIENTIFICO;PS;RMPS46500Q;ISTITUTO COR JESU ROMA - LICEO SCIENTIFICO;V.G.SOMMEILLER 38;ROMA;ROMA;00185;;067726561      ;41.88893;12.5126;0;1
RM1M10900R;ISTITUTO COR JESU ROMA - SECONDARIA DI I GRADO;MM;RM1M10900R;ISTITUTO COR JESU ROMA - SECONDARIA DI I GRADO;V.G.SOMMEILLER 38;ROMA;ROMA;00185;;067726561      ;41.88893;12.5126;0;1
RMTND1500F;ISTITUTO GIOVANNI PAOLO II - ISTITUTO TECNICO PER IL TURISMO;TN;RMTND1500F;ISTITUTO GIOVANNI PAOLO II - ISTITUTO TECNICO PER IL TURISMO;CORSO DUCA DI GENOVA, 157;ROMA;ROMA;00121;;065672123      ;41.73369;12.27178;0;1
RMTB035009;ISTITUTO NOBILE - AVIATION COLLEGE;TB;RMTB035009;ISTITUTO NOBILE - AVIATION COLLEGE;VIA VINCENZO LAMARO 25;ROMA;ROMA;00173;SEGRETERIA@ISTITUTONOBILE.IT;06768893       ;41.85167;12.57305;0;1
RM1MST500V;ISTITUTO NOBILE MIDDLE SCHOOL;MM;RM1MST500V;ISTITUTO NOBILE MIDDLE SCHOOL;V. VINCENZO LAMARO 25;ROMA;ROMA;00173;segreteria@istitutonobile.it;06768893       ;41.85327;12.57312;0;1
RMRH12500C;ISTITUTO PARITARIO SAFI ELIS;RH;RMRH12500C;ISTITUTO PARITARIO SAFI ELIS;VIA SEBASTIANO SATTA 54;ROMA;ROMA;00159;safi@elis.org;0645924008     ;41.90388;12.55081;0;1
RMPC24500N;ISTITUTO SAN GIUSEPPE CASALETTO - LICEO CLASSICO - LINGUISTICO;PC;RMPC24500N;ISTITUTO SAN GIUSEPPE CASALETTO - LICEO CLASSICO - LINGUISTICO;V.CASALETTO 260;ROMA;ROMA;00151;SEGRETERIA@SCUOLASANGIUSEPPE.IT;065376663      ;41.86849;12.43852;0;1
RMPS135009;ISTITUTO SAN GIUSEPPE CASALETTO - LICEO SCIENTIFICO;PS;RMPS135009;ISTITUTO SAN GIUSEPPE CASALETTO - LICEO SCIENTIFICO;VIA DEL CASALETTO 260;ROMA;ROMA;00151;SEGRETERIA@SCUOLASANGIUSEPPE.IT;065376663      ;41.86849;12.43852;0;1
RM1M05100A;ISTITUTO SAN GIUSEPPE CASALETTO - SCUOLA SECONDARIA PRIMO GRADO;MM;RM1M05100A;ISTITUTO SAN GIUSEPPE CASALETTO - SCUOLA SECONDARIA PRIMO GRADO;V.CASALETTO 260;ROMA;ROMA;00151;SEGRETERIA@SCUOLASANGIUSEPPE.IT;065376663      ;41.86957;12.43886;0;1
RMPMTS5005;ISTITUTO SCUOLA SAN GIUSEPPE CASALETTO LICEO DELLE SCIENZE UMANE;PM;RMPMTS5005;ISTITUTO SCUOLA SAN GIUSEPPE CASALETTO LICEO DELLE SCIENZE UMANE;VIA DEL CASALETTO 260;ROMA;ROMA;00151;segreteria@scuolasangiuseppe.it;065376663      ;41.86849;12.43852;0;1
RMTF11901E;ISTITUTO TECNICO;TF;RMIS119002;DE AMICIS - CATTANEO;LUNGOTEVERE TESTACCIO 32;ROMA;ROMA;00153;RMIS119002@istruzione.it;;41.87972;12.47198;1;0
RMTD03201T;"ISTITUTO TECNICO ""ANTONIO GENOVESI""";TD;RMIS03200G;"I.I.S. ""TOMMASO SALVINI""";VIA CAPOSILE, 1;ROMA;ROMA;00195;RMIS03200G@istruzione.it;06121122985;41.93022;12.4926;1;0
RMTD77500R;ISTITUTO TECNICO COMMERCIALE AMMINISTRAZIONE FINANZA E MARKETING;TD;RMTD77500R;ISTITUTO TECNICO COMMERCIALE AMMINISTRAZIONE FINANZA E MARKETING;VIA E. NATHAN 41/43;ROMA;ROMA;00146;SEGRETERIA@ISTITUTOROMA.IT;0655285343     ;41.85188;12.45844;0;1
RMTD78500B;ISTITUTO TECNICO ECONOMICO;TD;RMTD78500B;ISTITUTO TECNICO ECONOMICO;VIA  A, BACCIARINI 35;ROMA;ROMA;00167;INFO@ISTITUTOHEGEL.COM;0639754743     ;41.90261;12.43649;0;1
RMTF08901X;ISTITUTO TECNICO GRAFICA E COMUNICAZIONE;TF;RMIS08900B;"CINE TV ""ROBERTO ROSSELLINI""";VIA LIBETTA 14;ROMA;ROMA;00146;RMIS08900B@istruzione.it;06121125840;41.85625;12.46889;1;0
RMPMDD500Q;ISTITUTO TOZZI LICEO DELLE SCIENZE UMANE;PM;RMPMDD500Q;ISTITUTO TOZZI LICEO DELLE SCIENZE UMANE;Via del Casaletto, 35;ROMA;ROMA;00151;tozzist@tin.it;;;;0;1
RMMM8CM014;ITALO CALVINO;MM;RMIC8CM003;"IC ""VIA F.GENTILE, 40""";VIA F.     GENTILE             92;ROMA;ROMA;00173;RMIC8CM003@istruzione.it;067210096;41.85488;12.58768;1;0
RMTD08401E;ITCG FEDERICO CAFFE';TD;RMIS084008;FEDERICO CAFFE';VIALE DI VILLA PAMPHILI N.86;ROMA;ROMA;00152;RMIS084008@istruzione.it;06121125925;41.87765;12.45572;1;0
RMTF110003;ITI GIOVANNI XXIII;TF;RMTF110003;ITI GIOVANNI XXIII;VIA        TOR SAPIENZA 160;ROMA;ROMA;00155;RMTF110003@istruzione.it;06121122855;41.89716;12.5907;1;0
RMTF350007;ITI M. FARADAY;TF;RMTF350007;ITI M. FARADAY;VIA        CAPO SPERONE 52;ROMA;ROMA;00122;RMTF350007@istruzione.it;06121123625;41.74197;12.28899;1;0
RMTN02000C;ITTUR  LIVIA BOTTARDI;TN;RMTN02000C;ITTUR  LIVIA BOTTARDI;VIA  FILIBERTO PETITI N. 97;ROMA;ROMA;00155;RMTN02000C@istruzione.it;06121126565;41.9081;12.60532;1;0
RMTN073012;ITTUR  MARCO POLO;TN;RMIS07300T;""" CHARLES  DARWIN """;VIA        TUSCOLANA 388;ROMA;ROMA;00181;RMIS07300T@istruzione.it;06121122165;41.87444;12.5291;1;0
RM1M031005;IUNIOR INTERNATIONAL INSTITUTE;MM;RM1M031005;IUNIOR INTERNATIONAL INSTITUTE;V.G.B.DE ROSSI 48;ROMA;ROMA;00161;IUNIOR@SCUOLECEFA.IT;0644239356     ;41.91788;12.5192;0;1
RMSL128014;"IV LICEO ARTISTICO ""A.CARAVILLANI""";SL;RMIS12800R;"POLO LICEALE ""ALIGHIERI - CARAVILLANI""";PIAZZA DEL RISORGIMENTO, 46/B;ROMA;ROMA;00192;RMIS12800R@istruzione.it;0667665570;41.87852;12.45637;1;0
RMTD51500B;Istituto Tecnico Amministrazione Finanza e Marketing;TD;RMTD51500B;Istituto Tecnico Amministrazione Finanza e Marketing;C.O DUCA DI GENOVA 155 (OSTIA L.);ROMA;ROMA;00121;ISTITUTO@ISTITUTOGIOVANNIPAOLO2.IT;065672123      ;41.73405;12.271;0;1
RMPM016015;J.J.ROUSSEAU;PM;RMIS01600N;VIA DELLE SETTE CHIESE, 259;VIA DELLE SETTE CHIESE 259;ROMA;ROMA;00147;RMIS01600N@istruzione.it;06121124065;41.85954;12.50392;1;0
RMPS18500A;KENNEDY;PS;RMPS18500A;KENNEDY;VIA GIOSUE' CARDUCCI 2;ROMA;ROMA;00186;info@kennedyscuola.it;066796652      ;41.89671;12.48584;0;1
RMMM85301D;KING;MM;RMIC85300C;MARTIN LUTHER KING;VIA        DEI GIARDINETTI     85;ROMA;ROMA;00133;RMIC85300C@istruzione.it;062022758;41.86007;12.60323;1;0
RMPC19500T;L. CLASSICO SANT'APOLLINARE;PC;RMPC19500T;L. CLASSICO SANT'APOLLINARE;VIALE VATICANO, 42/B;ROMA;ROMA;00165;SEGRETERIA@ISTITUTOAPOLLINARE.ORG;06  69871265   ;41.90205;12.44572;0;1
RMPLUU500N;L. LINGUISTICO SANT'APOLLINARE;PL;RMPLUU500N;L. LINGUISTICO SANT'APOLLINARE;VIALE VATICANO, 42/B;ROMA;ROMA;00165;segreteria@istitutoapollinare.org;06/69871265    ;41.90191;12.44551;0;1
RMPS555002;L. SCIENTIFICO SANT'APOLLINARE;PS;RMPS555002;L. SCIENTIFICO SANT'APOLLINARE;VIALE VATICANO, 42/B;ROMA;ROMA;00165;SEGRETERIA@ISTITUTOAPOLLINARE.ORG;;41.90205;12.44572;0;1
RMPC33500X;L.C. MONS. TOZZI;PC;RMPC33500X;L.C. MONS. TOZZI;V.CASALETTO 35;ROMA;ROMA;00151;LICEOTOZZI@GMAIL.COM;065346270      ;41.87772;12.44066;0;1
RMPC080007;"L.G.S ""ENNIO QUIRINO VISCONTI""";PC;RMPC080007;"L.G.S ""ENNIO QUIRINO VISCONTI""";PIAZZA DEL COLLEGIO ROMANO, 4;ROMA;ROMA;00186;RMPC080007@istruzione.it;06121124325;41.89798;12.4803;1;0
RMPL355003;L.LING. MONS. TOZZI;PL;RMPL355003;L.LING. MONS. TOZZI;V.CASALETTO 35;ROMA;ROMA;00151;tozzist@tin.it;065346270      ;41.87772;12.44066;0;1
RMPS27500L;L.S. IST. S. MARIA;PS;RMPS27500L;L.S. IST. S. MARIA;V.LE MANZONI 5;ROMA;ROMA;00185;segreteria@istitutosantamaria.com;06  70033899   ;41.88966;12.50486;0;1
RMPS285007;L.S. MONS. TOZZI;PS;RMPS285007;L.S. MONS. TOZZI;V.CASALETTO 35;ROMA;ROMA;00151;tozzist@tin.it;065346270      ;41.87772;12.44066;0;1
RMPS165005;L.S. PIRANDELLO;PS;RMPS165005;L.S. PIRANDELLO;V.BONI 1;ROMA;ROMA;00162;ISTITUTOPIRANDELLOROMA@GMAIL.COM;0644238492     ;41.91524;12.52039;0;1
RMPS97500P;L.S. S. GIUSEPPE;PS;RMPS97500P;L.S. S. GIUSEPPE;VIA RABBELLO 15;ROMA;ROMA;00178;secondaria@sangiuseppecab.it;067184277      ;41.84009;12.54825;0;1
RMPS24500R;L.S. S. GIUSEPPE DE MERODE;PS;RMPS24500R;L.S. S. GIUSEPPE DE MERODE;V.S.SEBASTIANELLO 3;ROMA;ROMA;00187;DIREZIONE@SANGIUSEPPEDEMERODE.IT;0669922505     ;41.90679;12.48207;0;1
RMPS41500P;L.S. SERAPHICUM;PS;RMPS41500P;L.S. SERAPHICUM;V.DEL SERAFICO 3;ROMA;ROMA;00142;info@seraphicum.com;065190102      ;41.82958;12.48306;0;1
RMPS8Q500R;L.S. SEZ. SCIENZE APPLICATE GIOVANNI PAOLO II;PS;RMPS8Q500R;L.S. SEZ. SCIENZE APPLICATE GIOVANNI PAOLO II;C.SO DUCA DI GENOVA 157;ROMA;ROMA;00121;stituto@istitutogiovannipaolo2.it;065672123      ;41.73383;12.27086;0;1
RMPS180007;"L.S.S. ""J. F. KENNEDY""";PS;RMPS180007;"L.S.S. ""J. F. KENNEDY""";VIA NICOLA FABRIZI, 7;ROMA;ROMA;00153;RMPS180007@istruzione.it;06121127380;41.88683;12.46557;1;0
RM1M5A5006;LA BOTTEGA DEI GIOVANI TALENTI;MM;RM1M5A5006;LA BOTTEGA DEI GIOVANI TALENTI;VIA APPIA NUOVA, 171;ROMA;ROMA;00183;info@labottegadeigiovanitalenti.eu;;;;0;1
RMMM85901C;LA GIUSTINIANA;MM;RMIC85900B;LA GIUSTINIANA;SANTOLIQUIDO, 26/28 -IANNICELLI 172;ROMA;ROMA;00189;RMIC85900B@istruzione.it;0630366595;41.98732;12.40696;1;0
RMMM86401X;LARGO CASTELSEPRIO, 11;MM;RMIC86400V;I. C. LUCIO FONTANA;LARGO CASTELSEPRIO, 11 ROMA;ROMA;ROMA;00188;RMIC86400V@istruzione.it;0633611329;41.99153;12.47911;1;0
RMRF02701R;LARGO DI VILLA PAGANINI 6;RF;RMIS027004;I.I.S. GIOSUE' CARDUCCI;LARGO DI VILLA PAGANINI, N. 6;ROMA;ROMA;00198;RMIS027004@istruzione.it;121125500;41.91614;12.50833;1;0
RMPC200004;LC ARISTOFANE;PC;RMPC200004;LC ARISTOFANE;VIA        MONTE RESEGONE 3;ROMA;ROMA;00139;RMPC200004@istruzione.it;06121125005;41.95232;12.5316;1;0
RMPC31000G;LC IMMANUEL KANT;PC;RMPC31000G;LC IMMANUEL KANT;PIAZZA ZAMBECCARI 19;ROMA;ROMA;00177;RMPC31000G@istruzione.it;06121122525;41.87622;12.54993;1;0
RMPC03201V;LC MAMELI;PC;RMIS03200G;"I.I.S. ""TOMMASO SALVINI""";VIA        P. A. MICHELI 29;ROMA;ROMA;00197;RMIS03200G@istruzione.it;06121124825;41.92307;12.48256;1;0
RMTD03901L;LEON BATTISTA ALBERTI;TD;RMIS03900A;IS LEON BATTISTA ALBERTI;VIALE CIVILTA' DEL LAVORO, 4;ROMA;ROMA;00144;RMIS03900A@istruzione.it;065923396;41.83629;12.46606;1;0
RMTL039013;LEON BATTISTA ALBERTI;TL;RMIS03900A;IS LEON BATTISTA ALBERTI;VIALE      CIVILTA' DEL LAVORO 4;ROMA;ROMA;00144;RMIS03900A@istruzione.it;0612112540;41.83629;12.46607;1;0
